Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
Jamal Crawford,,,SG,3700,PHO,LAC,1,115,22,9,104,109,-8%,2,4,6,11,13,17,7.2,12.6,4.3,20.9,12.0,8.9,2.4,19.4,19.0,5.1
Nerlens Noel,0,,C,3700,OKC,@POR,1,111,14,21,102,107,-4%,5,3,4,13,12,14,18.9,18.2,9.2,27.2,12.5,14.8,4.0,14.2,32.5,8.8
Ian Mahinmi,,,C,3700,WAS,@MIA,1,103,12,11,102,104,-3%,5,3,2,23,15,14,12.5,11.0,3.4,18.6,0.0,0.0,0.0,14.3,19.3,5.2
Lance Stephenson,3,,SF,3700,LAL,NYK,1,115,23,14,103,112,2%,5,6,7,15,15,16,13.9,15.6,5.9,25.4,20.5,21.4,5.8,29.3,27.3,7.4
Dillon Brooks,,,SG,3700,MEM,BKN,1,104,20,8,101,109,-4%,9,7,6,19,18,19,10.2,12.2,4.0,20.4,21.5,15.6,4.2,16.1,8.0,2.2
Daniel Hamilton,,,SG,3700,ATL,@MIL,1,108,,,105,102,3%,8,4,3,18,10,9,7.9,6.5,-1.1,14.2,18.5,17.2,4.6,22.2,5.3,1.4
Pat Connaughton,,,SG,3700,MIL,ATL,2,122,15,14,107,109,9%,3,5,6,9,15,19,12.7,16.6,7.7,25.4,0.0,0.0,0.0,25.8,24.5,6.6
Sam Dekker,,,SF,3700,WAS,@MIA,1,103,15,17,102,104,-2%,10,7,6,19,18,17,15.4,15.6,5.8,25.4,17.0,13.7,3.7,16.9,13.6,3.7
Ivica Zubac,,,C,3700,LAL,NYK,1,115,,,103,112,8%,6,8,4,15,23,13,24.5,13.9,0.9,26.9,0.0,0.0,0.0,11.6,22.2,6.0
Jabari Bird,,O,SG,3600,BOS,DAL,1,109,,,103,106,3%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Dario Saric,4,,PF,3600,MIN,ORL,1,109,18,12,100,107,-5%,7,9,9,19,21,26,15.8,21.0,13.0,29.0,22.5,19.1,5.3,23.1,19.8,5.5
Thon Maker,,,C,3600,MIL,ATL,2,122,16,13,107,109,10%,3,4,4,15,13,12,10.1,11.2,4.9,17.5,12.0,11.6,3.2,14.4,14.6,4.1
